Vdd,Wn,Ln,Wp,Lp,Wr1,Lr1,R1 (in kOhms),Wr2,Lr2,R2 (in kOhms),Wc1,Lc1,MFc1,C1 (in pF),Wc2,Lc2,MFc2,C2 (in pF),Vdc (in mV),gain (in dB),lower cut-off frequency (in Hz),upper cut-off frequency (in kHz),noise in (uV),power (in uW)
1.5,20.0,0.15,40.0,0.15,1.0,30.0,60.0,1.0,50.0,100.0,0.0,0.0,0.0,0.0,15.0,15.0,6.0,2.768,705.2,20.51506,0.0,525.0492,15.43656,161.3881
1.25,40.0,0.15,80.0,0.15,1.0,50.0,100.0,1.0,50.0,100.0,0.0,0.0,0.0,0.0,15.0,15.0,6.0,2.768,590.0999999999999,20.22268,0.0,489.2721,9.761662,30.48936
1.125,50.0,0.15,100.0,0.15,1.0,90.0,180.0,1.0,50.0,100.0,0.0,0.0,0.0,0.0,14.0,13.0,6.0,2.246,538.0,20.17452,0.0,519.937,8.460034,9.831864
1.125,50.0,0.15,100.0,0.15,1.0,90.0,180.0,1.0,50.0,100.0,0.0,0.0,0.0,0.0,70.0,60.0,6.0,50.699999999999996,538.0,20.17452,0.0,23.02707,8.460322,9.831872
1.125,250.0,1.0,200.0,0.25,1.0,90.0,180.0,1.0,50.0,100.0,0.0,0.0,0.0,0.0,70.0,60.0,6.0,50.6964,448.66,23.82489,0.0,12.94196,2.832653,2.794655
1.125,250.0,1.0,200.0,0.25,1.0,90.0,180.0,1.0,50.0,100.0,0.0,0.0,0.0,0.0,55.0,55.0,5.0,30.459000000000003,448.66,23.82489,0.0,21.51295,2.832481,2.794644
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,1.0,13.33333,22.0,22.0,1.0,0.98472,50.0,50.0,1.0,5.038,448.66,14.74058,158489.3,403645.4,136.7781,2.794441
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,10.0,133.33329999999998,22.0,22.0,1.0,0.98472,50.0,50.0,1.0,5.038,448.66,3.778642,62661.39,411149.7,136.7782,2.794441
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,10.0,133.33329999999998,22.0,22.0,1.0,0.98472,50.0,50.0,1.0,5.038,448.66,3.778642,62661.39,411149.7,136.7782,2.794441
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,10.0,133.33329999999998,22.0,22.0,1.0,0.98472,50.0,50.0,1.0,5.038,448.66,3.778642,62661.39,411149.7,136.7782,2.794441
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,10.0,133.33329999999998,22.0,22.0,1.0,0.98472,50.0,50.0,1.0,5.038,448.66,3.778642,62661.39,411149.7,136.7782,2.794441
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,0.15,2.0,22.0,22.0,1.0,0.98472,100.0,100.0,1.0,20.076,448.66,14.28397,105438.7,184077.2,136.7781,2.794441
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,0.15,2.0,22.0,22.0,1.0,0.98472,150.0,150.0,1.0,45.114000000000004,448.66,11.04323,71121.35,122461.6,136.7781,2.79444
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,0.15,2.0,22.0,22.0,1.0,0.98472,150.0,150.0,1.0,45.114000000000004,448.66,11.04323,71121.35,122461.6,136.7781,2.79444
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,0.15,2.0,22.0,22.0,1.0,0.98472,75.0,75.0,1.0,11.306999999999999,448.66,15.7814,135518.9,251767.7,136.7781,2.794441
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,0.15,2.0,22.0,22.0,1.0,0.98472,30.0,30.0,1.0,1.8228,448.66,17.75532,248313.3,760326.3,136.7781,2.794441
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,0.15,2.0,22.0,22.0,1.0,0.98472,30.0,30.0,1.0,1.8228,448.66,17.75532,248313.3,760326.3,136.7781,2.794441
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,50.0,666.6667,22.0,22.0,1.0,0.98472,30.0,30.0,1.0,1.8228,448.66,-0.5090398,41209.75,476431.0,136.7782,2.794441
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,5.0,66.66667,22.0,22.0,1.0,0.98472,30.0,30.0,1.0,1.8228,448.66,13.35553,164437.2,629506.2,136.7781,2.794441
1.125,250.0,1.0,200.0,0.25,0.15,100.0,1333.333,0.15,5.0,66.66667,18.0,18.0,1.0,0.6616799999999999,30.0,30.0,1.0,1.8228,448.66,10.15194,171001.5,672976.7,203.6546,2.794441
